Name,PersonID,Team,HeadshotURL
Jahmyl Telfort,1643141,,https://cdn.nba.com/headshots/nba/latest/1040x760/1643141.png
Garrett Temple,202066,Toronto Raptors,https://cdn.nba.com/headshots/nba/latest/1040x760/202066.png
Dalen Terry,1631207,Chicago Bulls,https://cdn.nba.com/headshots/nba/latest/1040x760/1631207.png
Adou Thiero,1642876,Los Angeles Lakers,https://cdn.nba.com/headshots/nba/latest/1040x760/1642876.png
Cam Thomas,1630560,Brooklyn Nets,https://cdn.nba.com/headshots/nba/latest/1040x760/1630560.png
Amen Thompson,1641708,Houston Rockets,https://cdn.nba.com/headshots/nba/latest/1040x760/1641708.png
Ausar Thompson,1641709,Detroit Pistons,https://cdn.nba.com/headshots/nba/latest/1040x760/1641709.png
Ethan Thompson,1630679,Indiana Pacers,https://cdn.nba.com/headshots/nba/latest/1040x760/1630679.png
Klay Thompson,202691,Dallas Mavericks,https://cdn.nba.com/headshots/nba/latest/1040x760/202691.png
Matisse Thybulle,1629680,Portland Trail Blazers,https://cdn.nba.com/headshots/nba/latest/1040x760/1629680.png
Xavier Tillman,1630214,Boston Celtics,https://cdn.nba.com/headshots/nba/latest/1040x760/1630214.png
Drew Timme,1631166,Los Angeles Lakers,https://cdn.nba.com/headshots/nba/latest/1040x760/1631166.png
Nae'Qwan Tomlin,1641772,Cleveland Cavaliers,https://cdn.nba.com/headshots/nba/latest/1040x760/1641772.png
John Tonje,1642910,Utah Jazz,https://cdn.nba.com/headshots/nba/latest/1040x760/1642910.png
Nikola Topić,1642260,Oklahoma City Thunder,https://cdn.nba.com/headshots/nba/latest/1040x760/1642260.png
Jacob Toppin,1631210,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631210.png
Obi Toppin,1630167,Indiana Pacers,https://cdn.nba.com/headshots/nba/latest/1040x760/1630167.png
Karl-Anthony Towns,1626157,New York Knicks,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png
Nolan Traore,1642849,Brooklyn Nets,https://cdn.nba.com/headshots/nba/latest/1040x760/1642849.png
Luke Travers,1631247,Cleveland Cavaliers,https://cdn.nba.com/headshots/nba/latest/1040x760/1631247.png
Gary Trent Jr.,1629018,Milwaukee Bucks,https://cdn.nba.com/headshots/nba/latest/1040x760/1629018.png
Oscar Tshiebwe,1631131,Utah Jazz,https://cdn.nba.com/headshots/nba/latest/1040x760/1631131.png
Myles Turner,1626167,Milwaukee Bucks,https://cdn.nba.com/headshots/nba/latest/1040x760/1626167.png
Hunter Tyson,1641816,Denver Nuggets,https://cdn.nba.com/headshots/nba/latest/1040x760/1641816.png
Jaylon Tyson,1642281,Cleveland Cavaliers,https://cdn.nba.com/headshots/nba/latest/1040x760/1642281.png
Stanley Umude,1630649,San Antonio Spurs,https://cdn.nba.com/headshots/nba/latest/1040x760/1630649.png
Jonas Valančiūnas,202685,Denver Nuggets,https://cdn.nba.com/headshots/nba/latest/1040x760/202685.png
Fred VanVleet,1627832,Houston Rockets,https://cdn.nba.com/headshots/nba/latest/1040x760/1627832.png
Jarred Vanderbilt,1629020,Los Angeles Lakers,https://cdn.nba.com/headshots/nba/latest/1040x760/1629020.png
Devin Vassell,1630170,San Antonio Spurs,https://cdn.nba.com/headshots/nba/latest/1040x760/1630170.png
Gabe Vincent,1629216,Los Angeles Lakers,https://cdn.nba.com/headshots/nba/latest/1040x760/1629216.png
Tristan Vukcevic,1641774,Washington Wizards,https://cdn.nba.com/headshots/nba/latest/1040x760/1641774.png
Nikola Vučević,202696,Chicago Bulls,https://cdn.nba.com/headshots/nba/latest/1040x760/202696.png
Dean Wade,1629731,Cleveland Cavaliers,https://cdn.nba.com/headshots/nba/latest/1040x760/1629731.png
